,entity_id,entity_name,entity_category,entity_parent,entity_description,entity_type
122,124,purchase_order_id,field,purchase_order_details,ID of the related purchase order,int
123,125,product_id,field,purchase_order_details,ID of the product in the purchase order,int
124,126,quantity,field,purchase_order_details,Quantity of the product ordered,"decimal(18,4)"
125,127,unit_cost,field,purchase_order_details,Unit cost of the product,"decimal(19,4)"
126,128,date_received,field,purchase_order_details,Date the product was received,datetime
127,129,posted_to_inventory,field,purchase_order_details,Whether posted to inventory,tinyint(1)
128,130,inventory_id,field,purchase_order_details,ID of the related inventory item,int
129,131,purchase_order_status,table,NaN,Stores statuses of purchase orders,NaN
130,132,id,field,purchase_order_status,Unique identifier for each status,int
131,133,status,field,purchase_order_status,Status of the purchase order,varchar(50)
132,134,purchase_orders,table,NaN,Stores information about purchase orders,NaN
133,135,id,field,purchase_orders,Unique identifier for each order,int
134,136,supplier_id,field,purchase_orders,ID of the supplier,int
135,137,created_by,field,purchase_orders,ID of the creator,int
136,138,submitted_date,field,purchase_orders,Date the order was submitted,datetime
137,139,creation_date,field,purchase_orders,Date the order was created,datetime
138,140,status_id,field,purchase_orders,ID of the status,int
139,141,expected_date,field,purchase_orders,Expected delivery date,datetime
140,142,shipping_fee,field,purchase_orders,Shipping fee,"decimal(19,4)"
141,143,taxes,field,purchase_orders,Taxes applied,"decimal(19,4)"
142,144,payment_date,field,purchase_orders,Payment date,datetime
143,145,payment_amount,field,purchase_orders,Payment amount,"decimal(19,4)"
144,146,payment_method,field,purchase_orders,Payment method,varchar(50)
145,147,notes,field,purchase_orders,Additional notes about the order,longtext
146,148,approved_by,field,purchase_orders,ID of the approver,int
147,149,approved_date,field,purchase_orders,Approval date,datetime
148,150,submitted_by,field,purchase_orders,ID of the submitter,int
149,151,sales_reports,table,NaN,Stores sales report configurations,NaN
150,152,group_by,field,sales_reports,Grouping criteria for the report,varchar(50)
151,153,display,field,sales_reports,Display settings for the report,varchar(50)
152,154,title,field,sales_reports,Title of the report,varchar(50)
153,155,filter_row_source,field,sales_reports,Source of filter data,longtext
154,156,default,field,sales_reports,Whether the report is default,tinyint(1)
155,157,shippers,table,NaN,Stores information about shippers,NaN
156,158,id,field,shippers,Unique identifier for each shipper,int
157,159,company,field,shippers,Name of the shipper's company,varchar(50)
158,160,last_name,field,shippers,Shipper's last name,varchar(50)
159,161,first_name,field,shippers,Shipper's first name,varchar(50)
160,162,email_address,field,shippers,Shipper's email address,varchar(50)
161,163,job_title,field,shippers,Shipper's job title,varchar(50)
162,164,business_phone,field,shippers,Shipper's business phone number,varchar(25)
163,165,home_phone,field,shippers,Shipper's home phone number,varchar(25)
164,166,mobile_phone,field,shippers,Shipper's mobile phone number,varchar(25)
165,167,fax_number,field,shippers,Shipper's fax number,varchar(25)
166,168,address,field,shippers,Shipper's address,longtext
167,169,city,field,shippers,City of the shipper's address,varchar(50)
168,170,state_province,field,shippers,State or province of the address,varchar(50)
169,171,zip_postal_code,field,shippers,ZIP or postal code of the address,varchar(15)
170,172,country_region,field,shippers,Country or region of the address,varchar(50)
171,173,web_page,field,shippers,Shipper's web page,longtext
172,174,notes,field,shippers,Additional notes about the shipper,longtext
173,175,attachments,field,shippers,Attachments related to the shipper,longblob
174,176,strings,table,NaN,Stores string data for the application,NaN
175,177,string_id,field,strings,Unique identifier for each string,int
176,178,string_data,field,strings,Data of the string,varchar(255)
177,179,suppliers,table,NaN,Stores information about suppliers,NaN
178,180,id,field,suppliers,Unique identifier for each supplier,int
179,181,company,field,suppliers,Name of the supplier's company,varchar(50)
180,182,last_name,field,suppliers,Supplier's last name,varchar(50)
181,183,first_name,field,suppliers,Supplier's first name,varchar(50)
182,184,email_address,field,suppliers,Supplier's email address,varchar(50)
183,185,job_title,field,suppliers,Supplier's job title,varchar(50)
184,186,business_phone,field,suppliers,Supplier's business phone number,varchar(25)
185,187,home_phone,field,suppliers,Supplier's home phone number,varchar(25)
186,188,mobile_phone,field,suppliers,Supplier's mobile phone number,varchar(25)
187,189,fax_number,field,suppliers,Supplier's fax number,varchar(25)
188,190,address,field,suppliers,Supplier's address,longtext
189,191,city,field,suppliers,City of the supplier's address,varchar(50)
190,192,state_province,field,suppliers,State or province of the address,varchar(50)
191,193,zip_postal_code,field,suppliers,ZIP or postal code of the address,varchar(15)
192,194,country_region,field,suppliers,Country or region of the address,varchar(50)
193,195,web_page,field,suppliers,Supplier's web page,longtext
194,196,notes,field,suppliers,Additional notes about the supplier,longtext
195,197,attachments,field,suppliers,Attachments related to the supplier,longblob
196,97,status_id,field,orders,ID of the order status where 2 means shipped and 3 means shipped and paid,tinyint
